"CountryCode","CountryName","Date"
"CHN","China",2020-01-23
"JAM","Jamaica",2020-01-31
"VNM","Vietnam",2020-02-13
"IRQ","Iraq",2020-02-21
"ITA","Italy",2020-02-21
"MNG","Mongolia",2020-02-21
"PAK","Pakistan",2020-02-27
"HRV","Croatia",2020-02-29
"PSE","Palestine",2020-03-05
"RUS","Russia",2020-03-05
"GTM","Guatemala",2020-03-06
"SAU","Saudi Arabia",2020-03-08
"QAT","Qatar",2020-03-11
"ALB","Albania",2020-03-12
"PRI","Puerto Rico",2020-03-12
"AUT","Austria",2020-03-13
"MAR","Morocco",2020-03-13
"TUR","Turkey",2020-03-15
"NOR","Norway",2020-03-16
"VEN","Venezuela",2020-03-16
"AZE","Azerbaijan",2020-03-17
"BRA","Brazil",2020-03-17
"PHL","Philippines",2020-03-17
"SLV","El Salvador",2020-03-17
"COD","Democratic Republic of Congo",2020-03-18
"LKA","Sri Lanka",2020-03-18
"TUN","Tunisia",2020-03-18
"AUS","Australia",2020-03-19
"BGD","Bangladesh",2020-03-19
"KAZ","Kazakhstan",2020-03-19
"USA","United States",2020-03-19
"BOL","Bolivia",2020-03-20
"CAN","Canada",2020-03-20
"DEU","Germany",2020-03-20
"GRC","Greece",2020-03-21
"IND","India",2020-03-22
"DZA","Algeria",2020-03-23
"AFG","Afghanistan",2020-03-24
"UZB","Uzbekistan",2020-03-24
"BMU","Bermuda",2020-03-25
"CHL","Chile",2020-03-25
"KGZ","Kyrgyz Republic",2020-03-25
"SYR","Syria",2020-03-25
"EST","Estonia",2020-03-26
"NAM","Namibia",2020-03-27
"FIN","Finland",2020-03-28
"NER","Niger",2020-03-28
"TZA","Tanzania",2020-03-28
"NGA","Nigeria",2020-03-29
"GHA","Ghana",2020-03-30
"THA","Thailand",2020-03-30
"PNG","Papua New Guinea",2020-03-31
"MMR","Myanmar",2020-04-01
"TCD","Chad",2020-04-02
"OMN","Oman",2020-04-03
"BRB","Barbados",2020-04-05
"SVK","Slovak Republic",2020-04-08
"DOM","Dominican Republic",2020-04-09
"IDN","Indonesia",2020-04-10
"BIH","Bosnia and Herzegovina",2020-04-14
"ZMB","Zambia",2020-04-14
