WeekEnding,Initial Claims
05-01-19,"220,000"
12-01-19,"216,000"
19-01-19,"209,000"
26-01-19,"236,000"
02-02-19,"230,000"
09-02-19,"228,000"
16-02-19,"218,000"
23-02-19,"224,000"
02-03-19,"220,000"
09-03-19,"224,000"
16-03-19,"219,000"
23-03-19,"215,000"
30-03-19,"211,000"
06-04-19,"203,000"
13-04-19,"203,000"
20-04-19,"226,000"
27-04-19,"230,000"
04-05-19,"225,000"
11-05-19,"217,000"
18-05-19,"213,000"
25-05-19,"218,000"
01-06-19,"220,000"
08-06-19,"220,000"
15-06-19,"219,000"
22-06-19,"224,000"
29-06-19,"222,000"
06-07-19,"211,000"
13-07-19,"217,000"
20-07-19,"211,000"
27-07-19,"216,000"
03-08-19,"214,000"
10-08-19,"218,000"
17-08-19,"215,000"
24-08-19,"215,000"
31-08-19,"219,000"
07-09-19,"208,000"
14-09-19,"211,000"
21-09-19,"215,000"
28-09-19,"218,000"
05-10-19,"212,000"
12-10-19,"218,000"
19-10-19,"213,000"
26-10-19,"217,000"
02-11-19,"212,000"
09-11-19,"222,000"
16-11-19,"223,000"
23-11-19,"211,000"
30-11-19,"206,000"
07-12-19,"237,000"
14-12-19,"229,000"
21-12-19,"218,000"
28-12-19,"220,000"
04-01-20,"212,000"
11-01-20,"207,000"
18-01-20,"220,000"
25-01-20,"212,000"
01-02-20,"201,000"
08-02-20,"204,000"
15-02-20,"215,000"
22-02-20,"220,000"
29-02-20,"217,000"
07-03-20,"211,000"
14-03-20,"282,000"
21-03-20,"3,307,000"
28-03-20,"6,867,000"
04-04-20,"6,615,000"
11-04-20,"5,237,000"
18-04-20,"4,442,000"
25-04-20,"3,867,000"
02-05-20,"3,176,000"
09-05-20,"2,687,000"
16-05-20,"2,438,000"
